date,opening_price,closing_price,min_price,max_price,average_price,units_traded,volume_1day,volume_7day,buy_price,sell_price,requestTime
1520523759268,876000,841000,815000,881000,841884.9857,46229.6954813879613776,46229.6954813879613776,236299.800303203693997407,839000,841000,1520523758
1520523765211,876000,841000,815000,881000,841883.7026,46229.6587813879613776,46229.6587813879613776,236299.800303203693997407,839000,841000,1520523764
1520523771538,876000,841000,815000,881000,841883.7026,46229.6587813879613776,46229.6587813879613776,236299.800303203693997407,839000,841000,1520523770
1520523777571,876000,841000,815000,881000,841881.1360,46220.3161813879613776,46220.3161813879613776,236299.800303203693997407,839000,841000,1520523776
1520523783527,875000,841000,815000,881000,841877.3606,46219.1294824647182736,46219.1294824647182736,236299.800303203693997407,840000,841000,1520523782
1520523789441,875000,841000,815000,881000,841874.8683,46218.6611813879613776,46218.6611813879613776,236299.800303203693997407,839000,841000,1520523788
1520523795356,875000,841000,815000,881000,841874.8683,46218.6611813879613776,46218.6611813879613776,236299.800303203693997407,840000,841000,1520523794
1520523801306,875000,841000,815000,881000,841873.6220,46218.3951813879613776,46218.3951813879613776,236299.800303203693997407,840000,841000,1520523800
1520523807580,875000,841000,815000,881000,841873.6220,46218.3951813879613776,46218.3951813879613776,236299.800303203693997407,840000,841000,1520523806
1520523813466,875000,841000,815000,881000,841872.3756,46216.8822813879613776,46216.8822813879613776,236299.800303203693997407,840000,841000,1520523812
1520523819458,875000,841000,815000,881000,841869.8826,46215.3676813879613776,46215.3676813879613776,236299.800303203693997407,840000,841000,1520523818
1520523825651,875000,841000,815000,881000,841866.0019,46213.3866813879613776,46213.3866813879613776,236299.800303203693997407,840000,841000,1520523824
1520523831546,875000,840000,815000,881000,841865.9317,46216.4606813879613776,46216.4606813879613776,236299.800303203693997407,840000,841000,1520523830
1520523837669,875000,840000,815000,881000,841865.9317,46216.4606813879613776,46216.4606813879613776,236299.800303203693997407,840000,841000,1520523836
1520523843554,875000,840000,815000,881000,841865.7211,46224.8992813879613776,46224.8992813879613776,236299.800303203693997407,840000,841000,1520523842
1520523849668,875000,840000,815000,881000,841865.6509,46225.1128813879613776,46225.1128813879613776,236299.800303203693997407,840000,841000,1520523848
1520523855823,875000,840000,815000,881000,841863.1575,46218.4767813879613776,46218.4767813879613776,236299.800303203693997407,840000,841000,1520523854
1520523861848,875000,840000,815000,881000,841863.1575,46218.4767813879613776,46218.4767813879613776,236299.800303203693997407,840000,841000,1520523861
1520523867748,875000,840000,815000,881000,841861.8406,46219.5687813879613776,46219.5687813879613776,236299.800303203693997407,840000,841000,1520523867
1520523873783,875000,840000,815000,881000,841861.8406,46219.5687813879613776,46219.5687813879613776,236299.800303203693997407,840000,841000,1520523873
1520523879733,875000,840000,815000,881000,841861.8406,46219.5687813879613776,46219.5687813879613776,236299.800303203693997407,840000,841000,1520523879
1520523885738,875000,840000,815000,881000,841861.8406,46219.5687813879613776,46219.5687813879613776,236299.800303203693997407,840000,841000,1520523885
1520523891674,876000,840000,815000,881000,841858.0997,46218.8265813879613776,46218.8265813879613776,236299.800303203693997407,840000,841000,1520523891
1520523898093,876000,840000,815000,881000,841858.0997,46218.8265813879613776,46218.8265813879613776,236299.800303203693997407,840000,841000,1520523896
1520523904044,876000,840000,815000,881000,841858.0997,46218.8265813879613776,46218.8265813879613776,236299.800303203693997407,840000,841000,1520523903
1520523910000,876000,842000,815000,881000,841855.4389,46216.7089813879613776,46216.7089813879613776,236299.800303203693997407,840000,842000,1520523909
1520523915878,876000,842000,815000,881000,841854.1541,46216.3935813879613776,46216.3935813879613776,236299.800303203693997407,840000,842000,1520523915
1520523922627,876000,842000,815000,881000,841852.8692,46215.5203813879613776,46215.5203813879613776,236299.800303203693997407,840000,842000,1520523922
1520523928656,876000,842000,815000,881000,841850.2992,46182.7487813879613776,46182.7487813879613776,236299.800303203693997407,840000,842000,1520523927
1520523934803,876000,842000,815000,881000,841847.7664,46181.8519813879613776,46181.8519813879613776,236299.800303203693997407,840000,842000,1520523934
1520523940811,876000,842000,815000,881000,841845.1955,46168.4725813879613776,46168.4725813879613776,236299.800303203693997407,840000,842000,1520523940
1520523946918,875000,842000,815000,881000,841843.9100,46163.3354813879613776,46163.3354813879613776,236299.800303203693997407,840000,842000,1520523946
1520523953027,875000,840000,815000,881000,841843.8406,46166.3054813879613776,46166.3054813879613776,236299.800303203693997407,840000,841000,1520523952
1520523958932,877000,840000,815000,881000,841836.1254,46162.4575813879613776,46162.4575813879613776,236299.800303203693997407,840000,841000,1520523958
1520523964876,877000,840000,815000,881000,841836.1254,46162.4575813879613776,46162.4575813879613776,236299.800303203693997407,840000,841000,1520523964
1520523971192,877000,840000,815000,881000,841836.1254,46162.4575813879613776,46162.4575813879613776,236299.800303203693997407,840000,841000,1520523970
1520523977288,877000,840000,815000,881000,841834.7325,46165.2345813879613776,46165.2345813879613776,236299.800303203693997407,840000,841000,1520523976
1520523983884,877000,840000,815000,881000,841834.7325,46165.2345813879613776,46165.2345813879613776,236299.800303203693997407,840000,841000,1520523982
1520523989898,876000,840000,815000,881000,841833.4086,46163.2488813879613776,46163.2488813879613776,236299.800303203693997407,840000,841000,1520523989
1520523996598,875000,840000,815000,881000,841830.8358,46161.1466813879613776,46161.1466813879613776,236299.800303203693997407,840000,841000,1520523995
1520524003070,875000,840000,815000,881000,841816.8876,46161.0831813879613776,46161.0831813879613776,236299.800303203693997407,840000,841000,1520524002
1520524009043,877000,840000,815000,881000,841814.3879,46158.6301813879613776,46158.6301813879613776,236299.800303203693997407,840000,841000,1520524008
1520524014953,877000,841000,815000,881000,841814.3573,46159.1301813879613776,46159.1301813879613776,236299.800303203693997407,840000,841000,1520524014
1520524021225,877000,841000,815000,881000,841812.8648,46160.0590813879613776,46160.0590813879613776,236299.800303203693997407,840000,841000,1520524020
1520524027221,877000,841000,815000,881000,841812.8648,46160.0590813879613776,46160.0590813879613776,236299.800303203693997407,840000,841000,1520524026
1520524033232,877000,842000,815000,881000,841812.8554,46170.7390813879613776,46170.7390813879613776,236299.800303203693997407,840000,842000,1520524032
1520524039176,877000,842000,815000,881000,841812.8554,46170.7390813879613776,46170.7390813879613776,236299.800303203693997407,840000,842000,1520524038
1520524045111,877000,842000,815000,881000,841812.8554,46170.7390813879613776,46170.7390813879613776,236299.800303203693997407,840000,842000,1520524044
1520524051224,877000,842000,815000,881000,841812.8554,46170.7390813879613776,46170.7390813879613776,236299.800303203693997407,840000,842000,1520524050
1520524057150,875000,842000,815000,881000,841811.5304,46169.7390813879613776,46169.7390813879613776,236299.800303203693997407,840000,842000,1520524056
1520524063402,875000,842000,815000,881000,841806.4929,46163.5386813879613776,46163.5386813879613776,236299.800303203693997407,840000,842000,1520524062
1520524069346,876000,842000,815000,881000,841797.7774,46162.7131813879613776,46162.7131813879613776,236299.800303203693997407,840000,842000,1520524068
